电影名,年份,上映日期,标签,时长,评分,语言,导演,作者,宣传语,简介
Avatar Aang: The Last Airbender,(2026),2026/07/24 (US),"动画,动作,冒险,奇幻",1h 39m,92,-,Tim Hedrick,勞倫·蒙哥馬利,The legacy reawakens.,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve."
Accidental Partners,(2026),2026/03/12 (MX),"喜剧,爱情",1h 50m,89,西班牙語,Ihtzi Hurtado,Carmen Castro,概覽,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.
奇幻變身大冒險,(2026),2026/05/01 (HK),"冒险,动画,家庭,奇幻",1h 42m,89,英語,內森·格雷諾,Robert Snow,Transform your destiny.,林地小動物和大鳥突然互換了身體，只好彼此合作，共同面對一生最瘋狂的冒險。
夜巡毒梟,(2026),2026/08/21 (MX),"犯罪,动作,惊悚",1h 31m,88,西班牙語,Chava Cartas,Bernardo Esquinca,概覽,兩位墨西哥員警不幸得罪一名殘忍的毒梟後，必須拼命撐過值勤的最後幾小時。這部犯罪劇情片改編自真實事件。
鬼滅之刃劇場版 無限城篇 第一章 猗窩座再襲,(2025),2025/08/14 (HK),"动画,动作,奇幻",2h 35m,88,日語,外崎春雄,近藤光,It's time to have some fun.,為了讓變成鬼的妹妹禰豆子變回人類，加入鬼殺隊的灶門炭治郎，一路上與不同的「柱」成為同伴，並肩作戰，一起戰鬥。無限列車篇的「炎柱」煉獄杏壽郎、遊郭篇的「音柱」宇髓天元，以及在刀匠村篇的「霧柱」時透無一郎和「戀柱」甘露寺蜜璃 ，同伴我妻善逸和嘴平伊之助。  當大家參加集體「柱訓練」，為即將到來與鬼的戰鬥做準備時，鬼舞辻無慘出現在鬼殺隊的產屋敷宅邸。眼見主公大人身陷危境，炭治郎和「柱」們趕往宅邸，但被無慘的手推入一個神秘空間。炭治郎和鬼殺隊來到惡鬼的基地——無限城，正式開始與惡鬼之間的最終戰役！
月黑高飛,(1994),1995/10/26 (HK),"剧情,犯罪",2h 22m,87,英語,法蘭·達拉本特,史提芬·京,Fear can hold you prisoner. Hope can set you free.,1947 年，一位年輕的波特蘭銀行家安迪·杜佛蘭（添·羅賓斯飾）被指控殺死其妻子與其情夫，分別被判決兩個無期徒刑，進入緬因州的蕭申克監獄（蕭山克監獄）。另一方面，蕭申克監獄的交易商囚犯瑞德（摩根·費曼飾）在服刑了 20 年後申請假釋又被駁回，恰巧他也目睹了蕭申克監獄內新囚犯的到來，這其中也包括了安迪。新囚犯們得先與典獄長諾頓和獄警警備隊隊長海利會面，之後才會進入監獄服刑。在當晚，有一名囚犯因無法適應監獄的黑暗環境而哭喊，而後被隊長海利活活打死。
教父,(1972),1980/01/24 (HK),"剧情,犯罪",2h 55m,87,英語,法蘭西斯·柯波拉,馬里奧·普佐,An offer you can't refuse.,電影描述西西里的柯里安大家族於美國掘起，辛苦掙扎奮鬥成為黑幫教父，最後引起權力鬥爭，甚至家族地位動搖。殿堂級金像大導哥普拉將原本的通俗小說提昇至黑幫史詩式電影的層次，巧妙地將社會問題、家庭、權力、罪惡、榮譽、道德等命題融合一起。影片吸引力經久不衰，被譽為電影史上最偉大的美國電影之一。
米高積遜,(2026),2026/04/22 (HK),"音乐,剧情",2h 8m,87,英語,安東尼·福奎阿,約翰·洛根,Discover the making of a king.,《米高積遜》聚焦他的音樂成就，更深入描寫他舞台之外的人生軌跡：從幼年被發掘成為 Jackson Five 主唱，到成為全球最偉大娛樂巨星的過程，展露了他無與倫比的創作熱情，與對完美的執著追求。他早期獨唱事業中的多個經典表演及重要時刻，亦會於電影中復刻眼前，讓觀眾彷彿親臨現場，以全新視角走進這位傳奇人物的內心世界。
末日聖母號,(2026),2026/03/19 (HK),"科幻,冒险",2h 37m,86,英語,菲力洛迪文,克里斯·米勒,Believe in the Hail Mary.,科學老師 Ryland Grace（賴恩高斯寧 飾）在一艘距離地球數光年遠的太空船上醒來，隨着記憶慢慢逐漸恢復，佢先至知道大鑊！原來太陽就快玩完，而佢竟然是人類最後希望？！為了破解令太陽熄機之謎，他必須用盡畢生科學知識、非傳統諗頭，誓死拯救地球。不過估唔到喺呢趟孤獨太空之旅，竟然識到個意想不到嘅拍檔⋯⋯
教父續集,(1974),1974/12/20 (US),"剧情,犯罪",3h 20m,86,英語,法蘭西斯·柯波拉,馬里奧·普佐,The rise and fall of the Corleone empire.,柯裏安家族幼子米高（阿爾柏仙奴飾）自繼承大權後，續漸將勢力滲入各正當企業及政治圈中，企圖將黑手黨化暗為明。
